# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Laughing
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695730219398,-0.2980957,-0.9656372,0.20819092,5.53125,0.03125,-1.375
1695730219442,-0.30688477,-0.9956665,0.2008667,0.59375,2.03125,2.0625
1695730219487,-0.31176758,-0.9517212,0.19671631,-0.0625,1.625,2.578125
1695730219517,-0.30566406,-0.9595337,0.20452881,0.453125,0.1875,0.46875
1695730219563,-0.2993164,-0.97979736,0.20159912,3.828125,0.734375,-0.34375
1695730219592,-0.2878418,-0.96881104,0.168396,-3.0625,-0.234375,-0.28125
1695730219638,-0.2705078,-0.97076416,0.15179443,-0.265625,-2.046875,1.796875
1695730219685,-0.31445312,-1.0027466,0.23577881,-23.8125,-7.140625,-7.4375
1695730219712,-0.33276367,-0.92803955,0.26361084,-25.53125,2.4375,-6.078125
1695730219759,-0.2578125,-1.0120239,0.28997803,-14.8125,0.421875,-7.734375
1695730219803,-0.3203125,-0.88360596,0.2592163,-14.734375,1.5625,-7.640625
1695730219833,-0.2668457,-0.91241455,0.32073975,-2.125,0.296875,-6.953125
1695730219878,-0.3503418,-0.9612427,0.27313232,-19.609375,-1.984375,-7.546875
1695730219908,-0.37768555,-0.9319458,0.2855835,-4.625,2.65625,-11.046875
1695730219954,-0.26782227,-0.8699341,0.29681396,-0.953125,3.0,-20.546875
1695730219998,-0.4248047,-0.84381104,0.33929443,-5.171875,-15.46875,-0.4375
1695730220043,-0.578125,-0.9138794,0.45306396,-22.78125,-9.921875,7.390625
1695730220072,-0.2849121,-1.1443481,0.4179077,-14.859375,-0.625,-5.84375
1695730220118,-0.42382812,-0.84991455,0.41107178,10.84375,-4.40625,4.0
1695730220149,-0.43774414,-0.7698364,0.37249756,30.015625,4.640625,17.015625
1695730220193,-0.60058594,-0.8508911,0.39031982,0.46875,-9.71875,2.8125
1695730220239,-0.41552734,-0.9522095,0.36712646,-16.359375,0.234375,-9.125
1695730220269,-0.40649414,-0.9859009,0.29364014,-4.0625,10.1875,-0.171875
1695730220315,-0.3371582,-0.8713989,0.3222046,37.375,21.125,5.390625
1695730220344,-0.41845703,-0.93218994,0.28729248,20.234375,-3.203125,12.28125
1695730220389,-0.31933594,-0.9224243,0.24920654,-7.4375,-4.046875,8.265625
1695730220435,-0.22314453,-0.989563,0.21453857,-13.734375,2.203125,3.921875
1695730220466,-0.3322754,-0.87506104,0.20916748,14.671875,5.09375,3.59375
1695730220509,-0.3947754,-1.0151978,0.19281006,-3.078125,-2.890625,8.078125
1695730220554,-0.35839844,-1.0247192,0.30511475,-5.875,-8.03125,-0.796875
1695730220585,-0.29711914,-0.9324341,0.2694702,-6.359375,5.890625,-1.953125
